animal_id,age_years,breed,sex,weight_kg,body_temperature_c,heart_rate_bpm,respiratory_rate_bpm,milk_yield_drop_pct,appetite,activity_level,vaccination_status,symptoms,latitude,longitude,recorded_date,disease
LV-0001,9.6,Holstein_Friesian,Male,353.3,41.0,90,45,78.3,Anorexia,Lethargic,Up_to_date,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",21.4097,76.8298,2026-08-06,Foot_and_Mouth_Disease
LV-0002,9.9,Gir,Male,421.3,40.4,77,35,73.8,Reduced,Lethargic,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",19.6474,77.4329,2026-08-25,Lumpy_Skin_Disease
LV-0003,6.5,Red_Sindhi,Female,384.0,40.5,77,47,35.5,Anorexia,Lethargic,Partial,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",19.2763,76.1501,2026-08-02,Lumpy_Skin_Disease
LV-0004,2.9,Jersey,Female,289.3,40.2,89,40,63.1,Anorexia,Lethargic,Unvaccinated,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.0625,77.3447,2026-08-21,Foot_and_Mouth_Disease
LV-0005,3.4,Red_Sindhi,Male,339.2,40.3,76,38,82.1,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",21.4607,76.589,2026-08-12,Foot_and_Mouth_Disease
LV-0006,1.1,Holstein_Friesian,Female,475.8,41.2,94,39,76.0,Anorexia,Lethargic,Partial,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",21.0501,75.2978,2026-08-01,Foot_and_Mouth_Disease
LV-0007,3.8,Red_Sindhi,Female,325.6,40.9,65,42,73.7,Anorexia,Depressed,Overdue,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",19.2682,73.6617,2026-08-15,Lumpy_Skin_Disease
LV-0008,1.2,Red_Sindhi,Female,425.2,40.6,88,24,86.3,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",19.7311,76.5222,2026-08-04,Foot_and_Mouth_Disease
LV-0009,6.4,Holstein_Friesian,Female,437.6,38.9,61,22,0.0,Normal,Active,Up_to_date,none,19.1553,75.166,2026-08-30,Healthy_Cattle
LV-0010,8.3,Jersey,Female,377.9,39.6,70,20,76.8,Reduced,Normal,Up_to_date,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",20.0322,75.1696,2026-08-05,Bovine_Mastitis
