file_path,relative_path,class,split
C:\Users\priya\Downloads\dataset\data\processed\images\Blackleg\blackleg_037.jpg,Blackleg\blackleg_037.jpg,Blackleg,train
C:\Users\priya\Downloads\dataset\data\processed\images\Blackleg\blackleg_007.jpg,Blackleg\blackleg_007.jpg,Blackleg,train
C:\Users\priya\Downloads\dataset\data\processed\images\Lumpy_Skin_Disease\lumpy_skin_disease_009.jpg,Lumpy_Skin_Disease\lumpy_skin_disease_009.jpg,Lumpy_Skin_Disease,train
C:\Users\priya\Downloads\dataset\data\processed\images\Blackleg\blackleg_003.jpg,Blackleg\blackleg_003.jpg,Blackleg,train
C:\Users\priya\Downloads\dataset\data\processed\images\Blackleg\blackleg_012.jpg,Blackleg\blackleg_012.jpg,Blackleg,train
C:\Users\priya\Downloads\dataset\data\processed\images\Blackleg\blackleg_035.jpg,Blackleg\blackleg_035.jpg,Blackleg,train
C:\Users\priya\Downloads\dataset\data\processed\images\Healthy_Cattle\healthy_cattle_038.jpg,Healthy_Cattle\healthy_cattle_038.jpg,Healthy_Cattle,train
C:\Users\priya\Downloads\dataset\data\processed\images\Bovine_Mastitis\bovine_mastitis_003.jpg,Bovine_Mastitis\bovine_mastitis_003.jpg,Bovine_Mastitis,train
C:\Users\priya\Downloads\dataset\data\processed\images\Blackleg\blackleg_031.jpg,Blackleg\blackleg_031.jpg,Blackleg,train
C:\Users\priya\Downloads\dataset\data\processed\images\Foot_and_Mouth_Disease\foot_and_mouth_disease_007.jpg,Foot_and_Mouth_Disease\foot_and_mouth_disease_007.jpg,Foot_and_Mouth_Disease,train
C:\Users\priya\Downloads\dataset\data\processed\images\Lumpy_Skin_Disease\lumpy_skin_disease_037.jpg,Lumpy_Skin_Disease\lumpy_skin_disease_037.jpg,Lumpy_Skin_Disease,train
C:\Users\priya\Downloads\dataset\data\processed\images\Bovine_Mastitis\bovine_mastitis_030.jpg,Bovine_Mastitis\bovine_mastitis_030.jpg,Bovine_Mastitis,train
C:\Users\priya\Downloads\dataset\data\processed\images\Blackleg\blackleg_005.jpg,Blackleg\blackleg_005.jpg,Blackleg,train
C:\Users\priya\Downloads\dataset\data\processed\images\Bovine_Mastitis\bovine_mastitis_024.jpg,Bovine_Mastitis\bovine_mastitis_024.jpg,Bovine_Mastitis,train
